"FS1","EC2","PT3_R","EC4_R","FS5","PD6","FS7_R","PT8","EC9","PD10","PT11","FS12_R","PD13_R","EC14_R","PT15_R","FS16","PD17","EC18_R","PD19_R","EC20","PT21","EC22","FS23","PD24","PT25","FS26","PD27","PT28","gender","age"
5,4,2,2,4,4,2,4,4,3,4,1,4,2,2,4,3,2,3,4,4,3,4,2,4,4,2,4,"Female",18
3,4,2,3,3,3,2,4,4,4,4,3,3,2,2,3,4,2,3,4,4,3,3,3,3,4,3,3,"Female",34
5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Female",24
4,5,1,1,3,5,2,5,5,5,5,3,2,2,1,4,5,1,5,4,5,5,5,1,5,3,1,5,"Female",19
1,4,3,4,3,2,3,5,5,1,4,1,3,2,2,1,3,2,3,3,5,2,2,2,3,4,2,2,"Female",44
4,4,2,3,5,1,1,4,5,2,4,1,4,2,4,4,1,1,5,5,4,5,4,1,3,4,1,4,"Female",27
5,5,1,1,5,1,2,1,5,3,5,1,5,1,1,5,1,1,5,5,5,5,3,1,5,5,1,3,"Female",21
2,4,2,2,4,4,2,2,3,5,5,4,1,1,2,2,2,2,4,4,4,5,2,3,4,2,3,3,"Female",20
4,5,2,1,5,5,1,5,5,5,5,1,1,1,2,4,5,1,1,5,4,5,5,4,4,5,4,5,"Female",22
4,5,2,1,4,3,3,4,5,2,5,4,4,2,3,4,4,1,4,5,5,5,4,1,5,4,1,5,"Female",21
4,3,1,4,4,4,5,5,5,2,4,4,4,4,1,1,4,1,2,4,5,4,1,4,4,1,2,4,"Female",48
2,4,2,1,1,3,3,4,4,3,5,4,2,1,3,2,3,1,4,5,5,5,3,2,2,1,2,3,"Female",19
5,5,2,4,4,5,2,5,4,4,5,1,4,3,2,4,2,1,4,5,5,5,5,2,4,2,2,3,"Female",39
5,5,3,5,5,5,1,3,5,5,3,1,1,1,3,5,5,1,3,5,4,5,5,2,1,5,3,1,"Female",24
2,2,1,2,4,4,5,5,5,4,5,4,4,2,2,1,4,2,3,3,5,3,1,2,5,1,1,5,"Female",23
5,3,4,3,3,3,2,2,2,3,3,2,3,3,3,4,2,2,3,4,4,3,4,3,3,4,3,3,"Female",20
4,4,2,2,4,1,2,4,5,2,4,1,5,2,2,4,3,1,5,4,5,3,4,1,4,4,1,4,"Female",50
4,4,2,3,4,1,2,5,5,5,4,2,2,2,1,2,4,2,5,4,4,5,3,1,4,4,1,5,"Female",31
3,4,4,5,3,2,4,4,3,4,4,2,4,2,2,1,3,2,3,4,3,4,3,3,3,5,3,4,"Female",32
3,3,3,5,3,3,3,5,4,3,3,4,3,3,5,3,3,3,4,2,3,3,4,3,3,4,4,4,"Female",21
5,5,1,1,4,2,1,4,4,3,4,1,4,2,3,4,3,1,5,5,5,5,4,1,4,5,2,4,"Female",51
5,5,1,3,4,3,2,5,5,2,4,2,3,3,2,4,3,1,5,4,3,3,3,1,2,3,3,3,"Female",32
4,5,3,2,3,2,2,3,5,5,5,4,2,5,2,1,5,2,4,5,4,5,2,2,3,2,2,3,"Female",20
4,5,1,2,3,3,3,5,5,4,5,2,4,1,2,3,3,1,5,5,5,5,4,1,5,4,2,5,"Female",19
5,4,2,2,5,4,2,4,5,4,4,1,2,2,3,4,3,2,4,5,4,4,5,3,1,5,4,2,"Female",20
5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,5,5,"Female",32
2,5,2,3,3,1,2,5,4,5,4,1,5,2,3,1,2,1,4,5,5,5,1,1,4,1,1,3,"Female",27
2,4,3,1,3,2,3,3,4,3,3,2,3,1,3,2,2,1,4,4,4,3,2,2,3,3,1,3,"Female",19
4,5,1,1,3,4,4,5,5,4,5,5,4,2,3,1,3,2,4,4,5,5,4,2,3,4,1,5,"Female",24
3,4,1,1,1,1,4,4,4,1,5,2,4,3,2,1,1,1,4,3,3,5,2,1,1,1,1,2,"Female",19
2,5,2,2,4,1,4,3,5,2,3,3,2,2,3,1,1,2,5,4,3,4,3,1,3,2,1,4,"Female",27
4,4,2,4,2,3,2,4,5,4,4,2,4,2,3,3,4,2,4,4,5,5,4,2,4,3,2,4,"Female",19
1,3,3,2,3,3,3,3,3,1,3,3,5,3,2,1,1,1,5,3,3,1,1,1,2,1,1,3,"Female",45
4,5,2,1,3,4,4,4,5,4,4,3,3,1,2,2,4,1,4,4,4,4,3,2,3,3,2,4,"Female",20
4,5,2,3,1,1,3,4,4,4,4,5,5,3,4,1,1,1,5,5,5,5,3,1,2,1,1,4,"Female",31
4,5,1,4,5,5,2,5,5,5,5,1,1,1,5,4,3,5,5,5,4,5,4,1,3,5,1,3,"Female",27
5,4,2,2,3,5,2,2,4,4,3,4,2,1,1,2,5,1,4,3,3,5,4,2,2,3,4,3,"Female",28
2,2,4,4,2,4,4,2,3,3,3,2,4,4,4,4,4,2,4,4,5,5,5,2,4,4,2,4,"Female",25
4,4,2,2,2,3,3,5,4,2,4,3,3,2,3,3,3,2,4,4,4,3,3,2,3,3,2,3,"Female",22
4,4,1,1,3,1,3,5,5,3,5,5,5,2,2,2,2,2,3,4,5,5,5,2,4,3,3,5,"Female",19
4,4,2,1,2,2,5,4,4,5,2,3,2,1,2,2,5,1,2,4,4,3,1,4,4,1,2,4,"Female",20
1,5,1,1,1,2,4,5,5,2,5,3,3,1,2,1,1,1,5,5,5,5,1,1,3,4,1,5,"Female",25
2,3,4,2,2,2,1,3,4,2,2,3,5,3,1,3,1,1,4,2,4,4,2,2,3,2,2,3,"Female",20
4,4,4,2,2,2,3,4,3,4,4,4,3,4,4,5,5,4,4,5,5,5,4,4,4,4,5,5,"Female",25
3,4,3,1,4,1,5,4,4,4,4,2,3,2,1,4,1,1,5,4,5,5,5,1,4,3,1,4,"Female",33
3,3,2,4,2,2,2,2,3,4,3,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,3,4,"Female",20
1,4,2,2,1,1,3,5,5,1,5,5,5,5,5,1,1,1,4,4,4,3,1,1,4,1,1,4,"Male",39
5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Female",20
